id,Tweet Count by the User,Retweet Count by the User
nleviablai,215,54
iWatchonebay,168,54
Applewatchebay,158,54
barna_clue,145,54
iphonevevo,132,54
GoodsOFApple,130,54
applewatchmedic,121,54
IAMRAP_Ent,84,54
Jessie_Courser,70,54
byod_news,65,54
TechGiantNews,64,54
Musicinjp,62,54
iphonenewsooyuz,60,54
YoubidderFloyd,59,54
sunnycloudy01,53,54
apple_ip_news,53,54
AppleWatchGuru,52,54
AppleWatch_jp,51,54
alvaroo_navarro,49,54
Press2Today,45,54
Malevolence2012,44,54
NewsMayotte,42,54
AppleWatchBot,41,54
stiel,39,54
sekai_gyouten,38,54
kropf_nicole,38,54
2083028530,38,54
AppleNewsOutlet,37,54
1_1hiroya,37,54
real_24ji,37,54
psswstyles,37,54
third1109,37,54
GeniusNewsy,36,54
4_4hiroya,36,54
2_2hiroya,36,54
hiroya_777,36,54
108946286,36,54
6_6hiroya,36,54
technews_google,36,54
710792254,36,54
Bikerukamo,35,54
krumpdancer7,34,54
203870485,34,54
patrickvdd,33,54
IntNewsFeed,33,54
paijwar,33,54
Happy4H,32,54
apple_news_j,32,54
CoraNewsy,32,54
327278726,32,54
Info_CN,31,54
503088204,31,54
8_happy8,31,54
Tech_Sharer,30,54
Android_Newz,30,54
Iwatchespana,28,54
513448589,28,54
TechseekrLive,28,54
Appsoko,27,54
Pre_OrderCo,27,54
appleites,27,54
nagabow,27,54
AzutamaK9,26,54
applenewsit24,26,54
hotdeals4today,25,54
WildanSCUBA066,25,54
tonkatutonta,24,54
GeekNewsApple,24,54
Smart_Accessory,24,54
709_569,23,54
Kikcsemart,23,54
Sumiatono,23,54
news_apple_bot,23,54
iappjp,23,54
Gerimananews,23,54
Tisbolander,23,54
_Gadgets_News,23,54
Weredesanews,22,54
rtech,22,54
Gudaratech,22,54
TimHogenbirk,22,54
Munariksakew,22,54
Wilsonlule,22,54
appletech_yt,22,54
Huntengciami,22,54
Bertoandebalau,22,54
SerlyNonde,22,54
Marionadenews,22,54
ApulesedNews,22,54
Boybakamaronews,22,54
BodoteuingNews,22,54
SorryExcuseMe,22,54
mac_applenews,21,54
NewsDiga,21,54
CommonCock,21,54
follow_bxkhdmsp,21,54
ReniaaganNews,21,54
Rhindumatech,21,54
FriandsenMenda,21,54
JamesKulanas,21,54
